geoid,timestep,boro_code,c_lat,c_lon,crashes,injury_count_t1,crashes_t1,prob_ped_injured_t1,injury_roll3,injury_roll5
1_10000,2013,1.0,40.758,-73.971,256.0,7.99999999999999,139.0,0.0575539568345323,7.99999999999999,7.99999999999999
1_1001,2013,1.0,40.714,-73.978,13.0,0.0,5.0,0.0,0.0,0.0
1_1002,2013,1.0,40.717,-73.977,18.0,1.0,9.0,0.1111111111111111,1.0,1.0
1_10100,2013,1.0,40.75,-73.992,395.0,13.999999999999986,180.0,0.0777777777777777,13.999999999999986,13.999999999999986
1_10200,2013,1.0,40.759,-73.974,311.0,4.999999999999988,175.0,0.0285714285714285,4.999999999999988,4.999999999999988
1_10300,2013,1.0,40.752,-73.997,219.0,5.999999999999993,115.0,0.0521739130434782,5.999999999999993,5.999999999999993
1_10400,2013,1.0,40.761,-73.978,166.0,4.999999999999999,85.0,0.0588235294117647,4.999999999999999,4.999999999999999
1_10601,2013,1.0,40.757,-73.962,80.0,4.9999999999999964,48.0,0.1041666666666666,4.9999999999999964,4.9999999999999964
1_10602,2013,1.0,40.76,-73.959,203.0,7.0,104.0,0.0673076923076923,7.0,7.0
1_10800,2013,1.0,40.759,-73.965,366.0,8.999999999999991,182.0,0.0494505494505494,8.999999999999991,8.999999999999991
1_10900,2013,1.0,40.752,-73.99,344.0,18.0,185.0,0.0972972972972973,18.0,18.0
1_11000,2013,1.0,40.762,-73.963,553.0,12.999999999999996,283.0,0.0459363957597173,12.999999999999996,12.999999999999996
1_11100,2013,1.0,40.755,-73.995,321.0,6.999999999999997,161.0,0.0434782608695652,6.999999999999997,6.999999999999997
1_11201,2013,1.0,40.764,-73.975,143.0,0.0,60.0,0.0,0.0,0.0
1_11202,2013,1.0,40.763,-73.972,246.0,6.999999999999996,132.0,0.053030303030303,6.999999999999996,6.999999999999996
1_11203,2013,1.0,40.761,-73.969,228.0,7.999999999999992,123.0,0.065040650406504,7.999999999999992,7.999999999999992
1_11300,2013,1.0,40.755,-73.988,346.0,12.99999999999999,151.0,0.086092715231788,12.99999999999999,12.99999999999999
1_11401,2013,1.0,40.765,-73.97,110.0,4.0,73.0,0.0547945205479452,4.0,4.0
1_11402,2013,1.0,40.763,-73.967,282.0,4.999999999999992,130.0,0.0384615384615384,4.999999999999992,4.999999999999992
1_11500,2013,1.0,40.757,-73.994,725.0,23.999999999999986,397.0,0.0604534005037783,23.999999999999986,23.999999999999986
1_11600,2013,1.0,40.763,-73.956,135.0,3.9999999999999973,65.0,0.0615384615384615,3.9999999999999973,3.9999999999999973
1_11700,2013,1.0,40.76,-74.0,351.0,7.999999999999992,157.0,0.0509554140127388,7.999999999999992,7.999999999999992
1_11800,2013,1.0,40.765,-73.961,242.0,0.9999999999999999,101.0,0.0099009900990099,0.9999999999999999,0.9999999999999999
1_11900,2013,1.0,40.757,-73.986,332.0,15.999999999999993,192.0,0.0833333333333333,15.999999999999993,15.999999999999993
1_1200,2013,1.0,40.716,-73.982,43.0,4.0,25.0,0.16,4.0,4.0
1_12000,2013,1.0,40.767,-73.965,151.0,7.999999999999998,62.0,0.1290322580645161,7.999999999999998,7.999999999999998
1_12100,2013,1.0,40.76,-73.992,294.0,15.999999999999986,172.0,0.0930232558139534,15.999999999999986,15.999999999999986
1_12200,2013,1.0,40.768,-73.968,176.0,3.9999999999999964,95.0,0.0421052631578947,3.9999999999999964,3.9999999999999964
1_12400,2013,1.0,40.767,-73.954,193.0,0.9999999999999964,85.0,0.0117647058823529,0.9999999999999964,0.9999999999999964
1_12500,2013,1.0,40.76,-73.984,404.0,11.999999999999998,223.0,0.0538116591928251,11.999999999999998,11.999999999999998
1_12600,2013,1.0,40.768,-73.959,162.0,6.999999999999998,68.0,0.1029411764705882,6.999999999999998,6.999999999999998
1_12700,2013,1.0,40.762,-73.99,264.0,6.999999999999993,134.0,0.0522388059701492,6.999999999999993,6.999999999999993
1_12800,2013,1.0,40.771,-73.962,172.0,5.999999999999992,97.0,0.0618556701030927,5.999999999999992,5.999999999999992
1_12900,2013,1.0,40.764,-73.997,516.0,4.999999999999981,253.0,0.0197628458498023,4.999999999999981,4.999999999999981
1_1300,2013,1.0,40.709,-74.013,249.0,5.999999999999999,102.0,0.0588235294117647,5.999999999999999,5.999999999999999
1_13000,2013,1.0,40.773,-73.965,143.0,2.9999999999999956,72.0,0.0416666666666666,2.9999999999999956,2.9999999999999956
1_13100,2013,1.0,40.762,-73.982,257.0,5.0,125.0,0.04,5.0,5.0
1_13200,2013,1.0,40.77,-73.951,70.0,7.0,53.0,0.1320754716981132,7.0,7.0
1_13300,2013,1.0,40.765,-73.988,177.0,6.999999999999997,84.0,0.0833333333333333,6.999999999999997,6.999999999999997
1_13400,2013,1.0,40.772,-73.956,222.0,9.999999999999993,91.0,0.1098901098901098,9.999999999999993,9.999999999999993
1_13500,2013,1.0,40.769,-73.993,395.0,2.9999999999999947,190.0,0.0157894736842105,2.9999999999999947,2.9999999999999947
1_13600,2013,1.0,40.773,-73.949,82.0,3.999999999999997,35.0,0.1142857142857142,3.999999999999997,3.999999999999997
1_13700,2013,1.0,40.765,-73.98,364.0,7.999999999999992,193.0,0.0414507772020725,7.999999999999992,7.999999999999992
1_13800,2013,1.0,40.775,-73.954,132.0,4.0,64.0,0.0625,4.0,4.0
1_13900,2013,1.0,40.767,-73.986,182.0,5.999999999999995,89.0,0.0674157303370786,5.999999999999995,5.999999999999995
1_14000,2013,1.0,40.776,-73.958,129.0,3.9999999999999987,69.0,0.0579710144927536,3.9999999999999987,3.9999999999999987
1_1401,2013,1.0,40.715,-73.987,43.0,0.9999999999999996,19.0,0.0526315789473684,0.9999999999999996,0.9999999999999996
1_1402,2013,1.0,40.718,-73.986,121.0,1.999999999999998,74.0,0.027027027027027,1.999999999999998,1.999999999999998
1_14200,2013,1.0,40.777,-73.961,148.0,4.9999999999999964,66.0,0.0757575757575757,4.9999999999999964,4.9999999999999964
1_14300,2013,1.0,40.782,-73.966,604.0,16.999999999999993,323.0,0.0526315789473684,16.999999999999993,16.999999999999993
1_14401,2013,1.0,40.775,-73.948,50.0,1.0,25.0,0.04,1.0,1.0
1_14402,2013,1.0,40.776,-73.945,94.0,3.9999999999999996,33.0,0.1212121212121212,3.9999999999999996,3.9999999999999996
1_14500,2013,1.0,40.77,-73.984,220.0,7.0,116.0,0.0603448275862069,7.0,7.0
1_14601,2013,1.0,40.777,-73.952,70.0,1.0,20.0,0.05,1.0,1.0
1_14602,2013,1.0,40.779,-73.951,113.0,1.9999999999999978,36.0,0.0555555555555555,1.9999999999999978,1.9999999999999978
1_14700,2013,1.0,40.771,-73.989,47.0,0.0,34.0,0.0,0.0,0.0
1_14801,2013,1.0,40.779,-73.956,97.0,0.9999999999999983,39.0,0.0256410256410256,0.9999999999999983,0.9999999999999983
1_14802,2013,1.0,40.781,-73.954,123.0,1.9999999999999991,56.0,0.0357142857142857,1.9999999999999991,1.9999999999999991
1_14900,2013,1.0,40.772,-73.982,144.0,6.0,96.0,0.0625,6.0,6.0
1_15001,2013,1.0,40.78,-73.959,23.0,0.0,9.0,0.0,0.0,0.0
1_15002,2013,1.0,40.782,-73.958,93.0,2.999999999999997,54.0,0.0555555555555555,2.999999999999997,2.999999999999997
1_1501,2013,1.0,40.709,-74.004,119.0,6.0,73.0,0.0821917808219178,6.0,6.0
1_1502,2013,1.0,40.707,-74.005,131.0,1.9999999999999967,58.0,0.0344827586206896,1.9999999999999967,1.9999999999999967
1_15100,2013,1.0,40.774,-73.99,75.0,0.0,46.0,0.0,0.0,0.0
1_15200,2013,1.0,40.78,-73.944,80.0,0.0,35.0,0.0,0.0,0.0
1_15300,2013,1.0,40.775,-73.981,197.0,6.999999999999998,108.0,0.0648148148148148,6.999999999999998,6.999999999999998
1_15400,2013,1.0,40.781,-73.949,117.0,3.9999999999999933,78.0,0.0512820512820512,3.9999999999999933,3.9999999999999933
1_15500,2013,1.0,40.777,-73.987,80.0,2.9999999999999996,33.0,0.0909090909090909,2.9999999999999996,2.9999999999999996
1_15601,2013,1.0,40.784,-73.948,204.0,3.9999999999999996,99.0,0.0404040404040404,3.9999999999999996,3.9999999999999996
1_15602,2013,1.0,40.785,-73.946,58.0,0.0,30.0,0.0,0.0,0.0
1_15700,2013,1.0,40.777,-73.979,115.0,3.9999999999999947,63.0,0.0634920634920634,3.9999999999999947,3.9999999999999947
1_15801,2013,1.0,40.784,-73.952,75.0,2.999999999999997,37.0,0.081081081081081,2.999999999999997,2.999999999999997
1_15802,2013,1.0,40.787,-73.95,58.0,5.0,40.0,0.125,5.0,5.0
1_15900,2013,1.0,40.78,-73.985,131.0,1.9999999999999962,59.0,0.0338983050847457,1.9999999999999962,1.9999999999999962
1_1600,2013,1.0,40.716,-73.993,268.0,10.999999999999998,121.0,0.0909090909090909,10.999999999999998,10.999999999999998
1_16001,2013,1.0,40.786,-73.955,80.0,0.9999999999999983,39.0,0.0256410256410256,0.9999999999999983,0.9999999999999983
1_16002,2013,1.0,40.788,-73.954,69.0,0.0,30.0,0.0,0.0,0.0
1_16100,2013,1.0,40.78,-73.977,99.0,4.0,41.0,0.0975609756097561,4.0,4.0
1_16200,2013,1.0,40.788,-73.94,84.0,1.9999999999999978,30.0,0.0666666666666666,1.9999999999999978,1.9999999999999978
1_16300,2013,1.0,40.783,-73.984,135.0,2.999999999999997,81.0,0.037037037037037,2.999999999999997,2.999999999999997
1_16400,2013,1.0,40.788,-73.944,98.0,3.9999999999999987,52.0,0.0769230769230769,3.9999999999999987,3.9999999999999987
1_16500,2013,1.0,40.782,-73.975,171.0,1.9999999999999993,84.0,0.0238095238095238,1.9999999999999993,1.9999999999999993
1_16600,2013,1.0,40.789,-73.948,115.0,5.999999999999996,55.0,0.109090909090909,5.999999999999996,5.999999999999996
1_16700,2013,1.0,40.785,-73.981,115.0,6.0,80.0,0.075,6.0,6.0
1_16800,2013,1.0,40.791,-73.951,95.0,1.9999999999999978,49.0,0.0408163265306122,1.9999999999999978,1.9999999999999978
1_16900,2013,1.0,40.785,-73.973,90.0,4.0,64.0,0.0625,4.0,4.0
1_17000,2013,1.0,40.791,-73.942,98.0,8.999999999999996,54.0,0.1666666666666666,8.999999999999996,8.999999999999996
1_17100,2013,1.0,40.788,-73.979,80.0,2.0,51.0,0.0392156862745098,2.0,2.0
1_17200,2013,1.0,40.794,-73.945,124.0,5.999999999999996,55.0,0.109090909090909,5.999999999999996,5.999999999999996
1_17300,2013,1.0,40.788,-73.971,74.0,0.9999999999999984,26.0,0.0384615384615384,0.9999999999999984,0.9999999999999984
1_17401,2013,1.0,40.795,-73.949,58.0,0.0,21.0,0.0,0.0,0.0
1_17402,2013,1.0,40.797,-73.947,49.0,0.0,19.0,0.0,0.0,0.0
1_17500,2013,1.0,40.79,-73.978,132.0,3.9999999999999982,76.0,0.0526315789473684,3.9999999999999982,3.9999999999999982
1_17700,2013,1.0,40.79,-73.969,66.0,0.0,32.0,0.0,0.0,0.0
1_17800,2013,1.0,40.795,-73.934,119.0,7.9999999999999964,55.0,0.1454545454545454,7.9999999999999964,7.9999999999999964
1_17900,2013,1.0,40.793,-73.976,94.0,2.9999999999999964,49.0,0.0612244897959183,2.9999999999999964,2.9999999999999964
1_1800,2013,1.0,40.719,-73.991,562.0,15.999999999999988,286.0,0.0559440559440559,15.999999999999988,15.999999999999988
1_18000,2013,1.0,40.794,-73.94,108.0,3.9999999999999996,44.0,0.0909090909090909,3.9999999999999996,3.9999999999999996
1_18100,2013,1.0,40.793,-73.968,86.0,3.9999999999999987,42.0,0.0952380952380952,3.9999999999999987,3.9999999999999987
1_18200,2013,1.0,40.798,-73.942,159.0,9.999999999999995,89.0,0.1123595505617977,9.999999999999995,9.999999999999995
1_18300,2013,1.0,40.796,-73.974,195.0,9.0,81.0,0.1111111111111111,9.0,9.0
1_18400,2013,1.0,40.8,-73.945,111.0,4.999999999999996,54.0,0.0925925925925925,4.999999999999996,4.999999999999996
1_18500,2013,1.0,40.794,-73.966,76.0,2.9999999999999987,38.0,0.0789473684210526,2.9999999999999987,2.9999999999999987
1_18600,2013,1.0,40.799,-73.95,14.0,0.0,6.0,0.0,0.0,0.0
1_18700,2013,1.0,40.798,-73.972,75.0,1.9999999999999967,39.0,0.0512820512820512,1.9999999999999967,1.9999999999999967
1_18800,2013,1.0,40.798,-73.937,71.0,4.999999999999998,42.0,0.119047619047619,4.999999999999998,4.999999999999998
1_18900,2013,1.0,40.797,-73.964,84.0,3.9999999999999982,48.0,0.0833333333333333,3.9999999999999982,3.9999999999999982
1_19000,2013,1.0,40.802,-73.948,17.0,0.0,6.0,0.0,0.0,0.0
1_19100,2013,1.0,40.801,-73.97,77.0,3.999999999999998,39.0,0.1025641025641025,3.999999999999998,3.999999999999998
1_19200,2013,1.0,40.799,-73.931,5.0,0.0,5.0,0.0,0.0,0.0
1_19300,2013,1.0,40.801,-73.962,62.0,2.9999999999999996,35.0,0.0857142857142857,2.9999999999999996,2.9999999999999996
1_19400,2013,1.0,40.8,-73.935,119.0,9.999999999999996,70.0,0.1428571428571428,9.999999999999996,9.999999999999996
